Latitude,Longitude,Risk_of_Flood
21.112362035654208,72.80944851420593,4
21.285214291922976,72.76082890990324,4
21.21959818254342,72.6928582848859,1
21.17959754525911,72.84413850591208,3
21.04680559213273,72.80541935176616,2
21.04679835610086,72.64878508180347,2
21.01742508365046,72.87327815534816,3
21.25985284373248,72.84676117287695,3
21.180334503522964,72.88493997398758,5
21.212421773338814,72.81771585251651,4
21.00617534828874,72.78402455878074,5
21.2909729556486,72.72547291088719,4
21.249732792240128,72.8798185450062,5
21.063701733203484,72.85981916685013,5
21.05454749016213,72.61356560103185,3
21.05502135295603,72.60791009234917,1
21.09127267288786,72.71293901006341,4
21.15742692948967,72.84316599923456,5
21.129583505592635,72.89618283879449,2
21.087368742059414,72.64512506733105,5
21.183555868416715,72.77823921460565,1
21.041848158195613,72.7142672569893,5
21.087643394560565,72.89097431934438,2
21.10990855298811,72.85263567694072,1
21.13682099526511,72.85149861141335,3
21.235552788417905,72.74060794793849,4
21.05990213464751,72.7244458507013,2
21.154270331524085,72.68202212157921,2
21.177724370658613,72.61691264899527,5
21.013935123816,72.85941671287652,3
21.182263455570432,72.84387030273902,4
21.05115723710619,72.89991530198584,4
21.019515477895585,72.89899105112218,4
21.284665661176,72.76662951168079,2
21.28968960992237,72.83069622455416,3
21.242519204434938,72.88342971896473,3
21.09138413075201,72.85489421720322,4
21.029301634201914,72.67420443052296,4
21.205269907953646,72.73516324059302,4
21.132045748121882,72.63874782454545,4
21.036611470453433,72.88621530817763,4
21.14855307303338,72.78185239033526,3
21.010316556334566,72.66859284165103,3
21.272796120623635,72.80151020532176,4
21.077633994480006,72.78543847213737,5
21.198756685306194,72.70744881540985,3
21.093513322826823,72.63406727765988,5
21.156020406353342,72.80147195867784,3
21.164013083802985,72.75609231027114,1
21.05545633665766,72.8316955175207,5
21.29087538832937,72.7560490503336,5
21.232539847008336,72.85565445009557,4
21.281849682469257,72.76557205163235,5
21.268448205128294,72.76828139146062,5
21.179369993643327,72.8629960807975,2
21.276562270506936,72.72104485986372,2
21.026547750615578,72.64020456853518,4
21.058794858725744,72.608634802894,3
21.01356818667316,72.8265411767021,5
